model,mae,rmse,mape,smape,wape,bias_pct,n_obs,actual_eur
elastic_net,564142.1899491629,1248195.7145647123,18.360712914747406,24.190027252755662,22.50745006538888,11.465729310904289,3744,9384218794.369999
gradient_boosting,284268.0729712217,630251.2695111944,14.44195829752061,19.535428809038045,11.341377354104038,-2.4244419649496236,3744,9384218794.369999
ridge,643109.10160959,1489189.2716903011,20.059900255807445,25.56730910744378,25.6579746187381,15.685237994855347,3744,9384218794.369999
seasonal_naive,359465.9749893162,615306.9278156958,15.208345270264257,16.12146098929935,14.341530604203603,-11.097464187693358,3744,9384218794.369999
